"produto","numero_nf","quantidade","total"
"DESKTOP A5 HP",233020,"4.00","5200.00"
"NOTEBOOK MSFT HIBR",213260,"3.00","14400.00"
"HOME THEATER LG",208000,"3.00","690.00"
"DINOSSAUROS",102150,"2.00","80.00"
"MOTOROLA TV",49750,"3.00","2397.00"
"NOTEBOOK LN 15",215970,"3.00","4500.00"
"CAVALEIRO DAS TREVAS",144100,"5.00","550.00"
"REVIVALS",215480,"3.00","435.00"
"RIO DE JANEIRO / LONDRINA",163290,"4.00","1720.00"
"GALAXY NOTE",159020,"5.00","14500.00"
"GALAXY NOTE",55200,"4.00","11600.00"
"JOGOS MALÉFICOS",156500,"4.00","152.00"
"CAMA CASAL",135730,"5.00","5000.00"
"CAMA CASAL",104680,"2.00","2000.00"
"VINGANÇA",251250,"3.00","135.00"
"TV PLASMA PHILIPS 42",198310,"2.00","2400.00"
"LG C397",120240,"4.00","2000.00"
"PLAYSTATION 4",155910,"3.00","5940.00"
"DESKTOP I3",165850,"2.00","3600.00"
"MESA DE CENTRO",14820,"3.00","1500.00"
"LAVADORA GANCA 10L",131380,"4.00","21600.00"
"MOTO G5",189300,"3.00","2037.00"
"MOUSE OPTICO",151090,"2.00","118.00"
"SAO PAULO / ROMA",38010,"2.00","5600.00"
"CAVALEIRO DAS TREVAS",222280,"4.00","440.00"
"CARTAO SD 64 GB SAMSUNG",147900,"5.00","390.00"
"DESKTOP A5 HP",114250,"3.00","3900.00"
"IPAD 64",18480,"4.00","10000.00"
"NOTEBOOK HP INOVE",171630,"2.00","6600.00"
"SAO PAULO / BELO HORIZONTE",224240,"1.00","250.00"
"CADEIRA DE FERRO",110780,"1.00","300.00"
"FREEZER 300L BRASTEMP",158270,"4.00","7200.00"
"PENDRIVE 32 MULTILASER",65390,"4.00","200.00"
"FAMILIA PARATTO",49140,"1.00","134.00"
"PENDRIVE 128",25620,"1.00","146.00"
"TV LED 32 SONY",19960,"2.00","2000.00"
"PODEROSO CHEFE",23480,"4.00","392.00"
"SMART TV PHILIPS 46",106500,"2.00","6398.00"
"MESA DE CENTRO",174940,"3.00","1500.00"
"REVIVALS",102580,"3.00","435.00"
"CHAPA A GAS GANCA",237450,"2.00","3600.00"
"SONY W500",237460,"2.00","2400.00"
"RIO DE JANEIRO / MIAMI",43310,"3.00","5700.00"
"SAMSUNG XY 3",78570,"3.00","2400.00"
"LIQUIDIFICADOR ARNO",198590,"5.00","435.00"
"DESKTOP P5 PH",223570,"1.00","1400.00"
"DESKTOP I3",179410,"5.00","9000.00"
"TV LED 55 LG",139250,"2.00","7800.00"
"MESA DE CENTRO",9980,"2.00","1000.00"
"NOKIA QUARTY",166150,"3.00","900.00"
"LAVA LOUCAS CCE",126430,"4.00","14400.00"
"MOUSE OPTICO",7500,"5.00","295.00"
"ADVANCED AZURE",172750,"3.00","210.00"
"DESKTOP A5 PH",124940,"4.00","5200.00"
"SMART TV PANASONIC 52",175510,"1.00","4200.00"
"TV LED 42 LG",1490,"4.00","8000.00"
"RIO DE JANEIRO / NEW YORK",130350,"4.00","10400.00"
"JUST DANCE",244380,"1.00","99.00"
"GELADEIRA BRASTEMP",229910,"4.00","12000.00"
"NOKIA 549",218370,"2.00","900.00"
"MOTO G5",13480,"3.00","2037.00"
"NOTEBOOK LN 15",193210,"3.00","4500.00"
"CHAPA A GAS GANCA",170330,"4.00","7200.00"
"SAO PAULO / SALVADOR",27040,"3.00","1350.00"
"O SENHOR DO CRIME",193480,"3.00","597.00"
"HOME THEATER PANASONIC",60860,"2.00","490.00"
"RIO DE JANEIRO / RECIFE",189190,"1.00","560.00"
"CARREGADOR UNIVERSAL NOKIA",162850,"3.00","300.00"
"COMBO TECLADO E MOUSE",231380,"4.00","520.00"
"TV LED 60 SAMSUNG",65420,"1.00","3800.00"
"THIEF",249120,"5.00","700.00"
"CRONICAS ANTIGAS",78600,"3.00","567.00"
"RIO DE JANEIRO / CURITIBA",162200,"1.00","450.00"
"NOTEBOOK LN 15",125370,"3.00","4500.00"
"NOKIA ASHA 202",12810,"5.00","3500.00"
"C# PRATICO",163420,"3.00","180.00"
"SOCCER 2018",43900,"5.00","725.00"
"DIABO",12100,"2.00","198.00"
"EXCHANGE 2014",225200,"5.00","650.00"
"IPOD NANO 32",16640,"3.00","1350.00"
"NOTEBOOK MSFT 17",227720,"2.00","6200.00"
"XTG RAD D1",145420,"2.00","1600.00"
"RIO DE JANEIRO / CURITIBA",7750,"1.00","450.00"
"MEMORIA DDR 3 8GB",18890,"3.00","270.00"
"SONY I5",131000,"3.00","5400.00"
"HD 3T SAMSUNG",87930,"3.00","2100.00"
"TV LED 60 SONY",117350,"3.00","11700.00"
"SOUTH PLACE",22120,"3.00","294.00"
"TV LED 60 SONY",186000,"2.00","7800.00"
"MIXER BRITANIA",61460,"4.00","360.00"
"RIO DE JANEIRO / CAMPINAS",167890,"3.00","750.00"
"CHAPA A GAS GANCA",20410,"4.00","7200.00"
"SMART TV PANASONIC 52",56090,"3.00","12600.00"
"JUICER ARNO",30700,"2.00","900.00"
"MOUSE OPTICO",133790,"1.00","89.00"
"SAO PAULO / SALVADOR",43440,"3.00","1350.00"
"RIO DE JANEIRO / PARIS",142290,"2.00","4600.00"
"SONY I7",60250,"5.00","12500.00"
"DESKTOP P5 HP",188970,"5.00","7000.00"
"MOTO Z PLAY 3",208800,"2.00","2300.00"
"DESKTOP A5 HP",219660,"3.00","3900.00"
"PANIFICADORA BRITANIA",17920,"5.00","1250.00"
"DREAMC QUARTY",32490,"4.00","720.00"
"DESKTOP A5 HP",27050,"4.00","5200.00"
"ADAPTADOR WIRELESS",35200,"4.00","356.00"
"TV PLASMA PHILIPS 42",139340,"1.00","1200.00"
"IPAD 32",128560,"2.00","3800.00"
"SONY I7",246660,"1.00","2500.00"
"MESA 4 LUGARES",59860,"2.00","2000.00"
"MOTO Z PLAY 3",172990,"1.00","1150.00"
"RIO DE JANEIRO / LONDRINA",29740,"1.00","430.00"
"O IMORTAL",47500,"4.00","148.00"
"CAVALEIRO DOS 7 REINOS",76620,"1.00","30.00"
"IPAD 32",230040,"4.00","7600.00"
"SAO PAULO / ROMA",199630,"5.00","14000.00"
"MOTO Z PLAY 3",185310,"4.00","4600.00"
"SAO PAULO / MADRID",87800,"1.00","2700.00"
"HOME THEATER PANASONIC",207010,"1.00","245.00"
"WINDOWS 2016 VISAO GERAL",239840,"5.00","450.00"
"SAO PAULO / LIMA",250730,"1.00","1900.00"
"PENDRIVE 32 MULTILASER",129250,"3.00","150.00"
"TV LED 42 LG",99280,"2.00","4000.00"
"TV LED 60 SAMSUNG",67140,"3.00","11400.00"
"GELADEIRA BRASTEMP",61910,"4.00","12000.00"
"CARTAO SD 128 GB SANDISK",8650,"1.00","156.00"
"XTG E1",29590,"4.00","1200.00"
"DESKTOP A5 HP",83340,"1.00","1300.00"
"MP4 32 GB SONY",248790,"3.00","720.00"
"SAO PAULO / GOIANIA",177930,"4.00","1600.00"
"MOUSE OPTICO",127160,"2.00","178.00"
"LAVA LOUCAS BRASTEMP",153300,"2.00","7000.00"
"O IMORTAL",21110,"3.00","111.00"
"LOAD RUNNER",23730,"3.00","435.00"
"MAFIA",185780,"1.00","120.00"
"SONY W100",104000,"5.00","4900.00"
"FABULA",238230,"4.00","480.00"
"NOKIA ASHA 202",180320,"3.00","2100.00"
"CASTELVANIA",168670,"2.00","240.00"
"CENTRIFUGA ARNO",1440,"5.00","14000.00"
"MICROONDAS BRASTEMP",64770,"2.00","1200.00"
"SONY I5",172910,"5.00","9000.00"
"LAVA LOUCAS CCE",149650,"2.00","7200.00"
"MIXER WALLITA",163220,"5.00","800.00"
"DIÁRIO ROMÂNTICO",204530,"4.00","704.00"
"A CULPA É DAS ESTRELAS",74710,"2.00","48.00"
"MIXER BRITANIA",58340,"1.00","90.00"
"MENTES CRIMINOSAS",125430,"3.00","630.00"
"HD 1T SAMSUNG",149800,"2.00","520.00"
"CARTOON MOVIE",169680,"5.00","495.00"
"SAO PAULO / LIMA",186030,"4.00","7600.00"
"SAO PAULO / RECIFE",139520,"2.00","720.00"
"NOKIA QUARTY",21320,"3.00","900.00"
"JOGOS VORAZES",250140,"1.00","45.00"
"DESKTOP P5 HP",165690,"4.00","5600.00"
"MP4 32 GB SONY",82530,"1.00","240.00"
"BATEDEIRA BRASTEMP",2140,"3.00","360.00"
"WARIO",40430,"4.00","580.00"
"O SENHOR DO CRIME",243400,"5.00","995.00"
"JUICER ARNO",60300,"1.00","450.00"
"SAO PAULO / RECIFE",159090,"3.00","1080.00"
"MENTES CRIMINOSAS",202030,"4.00","840.00"
"HOME THEATER PANASONIC",157280,"2.00","490.00"
"TABLET 10 LENOVO",144150,"1.00","800.00"
"SONY I5",60330,"3.00","5400.00"
"TV 3D PHILIPS 42",205910,"3.00","11400.00"
"MOTO Z PLAY 3",84670,"3.00","3450.00"
"TV LED 32 LG",62120,"1.00","1100.00"
"MEMORIA DDR 3 16GB",95830,"2.00","280.00"
"CASTELVANIA",173220,"2.00","240.00"
"RIO DE JANEIRO / MADRID",96070,"4.00","7200.00"
"SAO PAULO / LONDRINA",95230,"5.00","1550.00"
"DESKTOP A5 ML",48070,"5.00","6500.00"
"CARTAO SD 128 GB SANDISK",139900,"5.00","780.00"
"NOTEBOOK HP C-34",87380,"4.00","9200.00"
"XTG RAD D1",26040,"4.00","3200.00"
"ESCOLINHA DO JUCA",108090,"1.00","56.00"
"MOTO G5",210500,"3.00","2037.00"
"NOTEBOOK ACER 15",135210,"1.00","1500.00"
"DESKTOP A5 PH",253670,"2.00","2600.00"
"MEMORIA DDR 3 8GB",181350,"1.00","90.00"
"DESKTOP A5 HP",39240,"2.00","2600.00"
"DESKTOP P5 HP",23720,"3.00","4200.00"
"PENDRIVE 32 MULTILASER",110420,"3.00","150.00"
"PENDRIVE 64",8930,"1.00","80.00"
"MOTO Z PLAY 3",65370,"2.00","2300.00"
"NOTEBOOK MSFT HIBR",222220,"1.00","4800.00"
"BARCO DE PEDRA",39170,"2.00","74.00"
"TV LED 50 LG",39880,"1.00","3100.00"
"TV 3D SONY 42",252190,"2.00","6200.00"
"TV LED 60 SONY",221980,"3.00","11700.00"
"SONY W100",67430,"2.00","1960.00"
"DESKTOP 17",240440,"2.00","4600.00"
"MENTES CRIMINOSAS",200840,"2.00","420.00"
"NOKIA ASHA 202",184700,"3.00","2100.00"
"NOTEBOOK LN 17",56700,"4.00","8400.00"
"PENDRIVE 64",90440,"1.00","80.00"
"IPOD NANO 16",67380,"1.00","300.00"
"PENDRIVE 128 CROSSAIR",95450,"4.00","548.00"
"RIO DE JANEIRO / NEW YORK",78920,"4.00","10400.00"
"SAO PAULO / BELO HORIZONTE",183510,"3.00","750.00"
"NOKIA 549",61620,"5.00","2250.00"
"TITANS",175290,"1.00","98.00"
"CARREGADOR TURBO CELULAR",125380,"3.00","297.00"
"GLADIADORES",24920,"5.00","725.00"
"DESKTOP P5 PH",102350,"4.00","5600.00"
"EXCHANGE 2014",191000,"3.00","390.00"
"CASOAS ANTIGOS",173890,"4.00","148.00"
"NOTEBOOK MSFT 17",163360,"2.00","6200.00"
"XTG RAD D3",241550,"3.00","2100.00"
"UM CASO PERDIDO",61530,"4.00","224.00"
"TV LED 42 LG",210260,"4.00","8000.00"
"LIQUIDIFICADOR ARNO",78390,"5.00","435.00"
"DEVILCRY",153590,"2.00","240.00"
"REVIVALS",30490,"2.00","290.00"
"HD 1T",229110,"1.00","290.00"
"HD 1T",221030,"2.00","580.00"
"DESKTOP I5",145490,"1.00","2100.00"
"GRILL GEROGE FOREMAN",110660,"4.00","1000.00"
"SMART TV PANASONIC 46",3790,"2.00","6198.00"
"EXCHANGE 2014",207600,"2.00","260.00"
"HOMEM DE AÇO",88590,"2.00","90.00"
"A CULPA É DAS ESTRELAS",251520,"4.00","96.00"
"A TEORIA",251790,"2.00","396.00"
"DESKTOP A5 ML",126350,"5.00","6500.00"
"PENDRIVE 16",106780,"4.00","120.00"
"CONJUNTO DE SOFA",51250,"4.00","14000.00"
"SAO PAULO / MIAMI",244200,"4.00","9200.00"
"LG OPTIMUS",99390,"5.00","4450.00"
"TITANS",54740,"4.00","392.00"
"CARREGADOR TURBO CELULAR",238500,"3.00","297.00"
"SAO PAULO / LIMA",6760,"2.00","3800.00"
"NOTEBOOK LN 17",182570,"2.00","4200.00"
"MESA 4 LUGARES",57050,"3.00","3000.00"
"CAVALEIROS DE PRATA",47760,"4.00","580.00"
"MOTO G6",10720,"3.00","2580.00"
"PENDRIVE 64 ML",63130,"5.00","425.00"
"TV LED 50 SONY",239990,"3.00","9600.00"
"PHONE 4",108390,"3.00","5700.00"
"SONY W200",167730,"2.00","2200.00"
"NOTEBOOK SONY AWS",197820,"3.00","8250.00"
"CARTOON MOVIE",250340,"2.00","198.00"
"MEMORIA DDR 3 8GB",140620,"2.00","180.00"
"MICROONDAS BRASTEMP",250690,"3.00","1800.00"
"RIO DE JANEIRO / CURITIBA",20440,"2.00","900.00"
"TITANS",116520,"1.00","98.00"
"HOME THEATER PANASONIC",27220,"3.00","735.00"
"ADAPTADOR WIRELESS",86450,"3.00","267.00"
"CAVALEIROS DE PRATA",64790,"3.00","435.00"
"A VIDA SECRETA",80810,"1.00","37.00"
"HD 3T SAMSUNG",221720,"1.00","700.00"
"CONJUNTO DE SOFA",105100,"2.00","7000.00"
"IPAD 64",229660,"3.00","7500.00"
"MAFIA",231400,"2.00","240.00"
"ESCOLINHA DO JUCA",254760,"3.00","168.00"
"TITANS",194840,"4.00","392.00"
"SAO PAULO / RECIFE",61180,"2.00","720.00"
"IPAD 32",172400,"3.00","5700.00"
"HD 1T SAMSUNG",138760,"5.00","1300.00"
"SONY I7",199640,"2.00","5000.00"
"PENDRIVE 128 CROSSAIR",175580,"4.00","548.00"
"PENDRIVE 64",159560,"2.00","160.00"
"IPAD 64",156700,"3.00","7500.00"
"CARREGADOR TURBO CELULAR",115610,"2.00","198.00"
"RIO DE JANEIRO / PARIS",86960,"2.00","4600.00"
"JUICER ARNO",6870,"3.00","1350.00"
"O IMORTAL",108950,"3.00","111.00"
"ROTEADOR 18 PORTAS",93860,"3.00","900.00"
"JUICER WALLITA",252640,"4.00","1800.00"
"PLACA DE SOM",149400,"5.00","1450.00"
"SMART TV PANASONIC 46",200410,"4.00","12396.00"
"SONY W200",226080,"2.00","2200.00"
"PENDRIVE 64",22520,"2.00","160.00"
"IPAD 64",152930,"1.00","2500.00"
"FUTEBOL 2018",46810,"4.00","580.00"
"SAMSUNG DUOS",189450,"2.00","2200.00"
"TV LED 32 LG",241010,"2.00","2200.00"
"IPAD 32",222440,"1.00","1900.00"
"PHONE 4",156010,"1.00","1900.00"
"SONY I7",114200,"2.00","5000.00"
"HD 3T SAMSUNG",34740,"4.00","2800.00"
"MOUSE OPTICO",182380,"3.00","177.00"
"MOTO G5",49730,"3.00","2037.00"
"SMART TV PANASONIC 42",230100,"2.00","4400.00"
"SAMSUNG XY 4",77440,"4.00","4800.00"
"PENDRIVE 64 ML",163290,"2.00","170.00"
"A CASA",189180,"1.00","299.00"
"C# PRATICO",188250,"3.00","180.00"
"SAMSUNG XY 4",87060,"3.00","3600.00"
"IPOD NANO 32",147080,"3.00","1350.00"
"JOGOS MALÉFICOS",40030,"2.00","76.00"
"REVIVALS",242250,"4.00","580.00"
"CARTOON MOVIE",98850,"2.00","198.00"
"A VIDA SECRETA",21310,"3.00","111.00"
"CHAPA A GAS GANCA",199590,"4.00","7200.00"
"PLACA DE SOM",141150,"2.00","580.00"
"LG C397",200700,"5.00","2500.00"
"A TEORIA",51290,"3.00","594.00"
"CAVALEIRO DOS 7 REINOS",69260,"3.00","90.00"
"LAVA LOUCAS BRASTEMP",178440,"2.00","7000.00"
"SAMSUNG DUOS",3350,"2.00","2200.00"
"A CULPA É DAS ESTRELAS",170720,"2.00","48.00"
"ROTEADOR WIRELESS",44770,"1.00","90.00"
"TV LED 50 SONY",100380,"3.00","9600.00"
"PHONE 5",135770,"1.00","2500.00"
"AS CRÔNICAS DE ANDROMEDA",250200,"2.00","138.00"
"MICROONDAS BRASTEMP",26720,"3.00","1800.00"
"MOTOROLA TV",61900,"1.00","799.00"
"DESKTOP P5 PH",78220,"2.00","2800.00"
"CARTOON MOVIE",31470,"4.00","396.00"
"LEITOR DE CARTOES",133770,"5.00","170.00"
"IPAD 32",234520,"2.00","3800.00"
"HD 1T",75310,"2.00","580.00"
"RIO DE JANEIRO / MADRID",213970,"1.00","1800.00"
"GALAXY NOTE",188620,"5.00","14500.00"
"TV LED 60 SONY",69340,"2.00","7800.00"
"RIO DE JANEIRO / LONDRINA",40480,"1.00","430.00"
"VINGANÇA",121750,"5.00","225.00"
"SAO PAULO / LONDRINA",105580,"2.00","620.00"
"TV LED 32 SONY",135940,"1.00","1000.00"
"DREAMC QUARTY",48010,"3.00","540.00"
"SAO PAULO / BELO HORIZONTE",212970,"2.00","500.00"
"CARTAO SD 32 GB SANDISK",216340,"1.00","32.00"
"MAFIA",245580,"3.00","360.00"
"RIO DE JANEIRO / LONDRINA",213990,"3.00","1290.00"
"MEMORIA DDR 3 8GB",135060,"1.00","90.00"
"TV LED 32 SAMSUNG",53800,"1.00","1210.00"
"A TEORIA",185750,"4.00","792.00"
"RIO DE JANEIRO / LONDRINA",189450,"4.00","1720.00"
"FABULA",45660,"2.00","240.00"
"DESKTOP I5",198320,"3.00","6300.00"
"JUICER CCE",95360,"2.00","860.00"
"HD 3T SAMSUNG",197460,"4.00","2800.00"
"CAMA CASAL",249810,"5.00","5000.00"
"BATEDEIRA BRASTEMP",83770,"4.00","480.00"
"RAIDER",135280,"4.00","480.00"
"JUICER WALLITA",79300,"1.00","450.00"
"DIABO",224620,"5.00","495.00"
"SONY W200",232020,"5.00","5500.00"
"HOME THEATER PANASONIC",24620,"2.00","490.00"
"SAMSUNG XY 3",98430,"1.00","800.00"
"MIXER WALLITA",124660,"2.00","320.00"
"JOGOS MALÉFICOS",92180,"4.00","152.00"
"LIQUIDIFICADOR WALLITA",189560,"3.00","270.00"
"PENDRIVE 64 ML",213300,"2.00","170.00"
"DESKTOP A5 HP",206580,"5.00","6500.00"
"TV LED 60 SAMSUNG",234970,"2.00","7600.00"
"CARREGADOR TURBO CELULAR",216620,"3.00","297.00"
"LG OPTIMUS",201670,"4.00","3560.00"
"DESKTOP P5 PH",138930,"1.00","1400.00"
"HOMEM DE AÇO",61470,"3.00","135.00"
"O SENHOR DO CRIME",242930,"4.00","796.00"
"HOMEM DE AÇO",185920,"3.00","135.00"
"SAMSUNG XY 4",127150,"5.00","6000.00"
"LIQUIDIFICADOR WALLITA",178840,"2.00","180.00"
"SAO PAULO / MADRID",160460,"3.00","8100.00"
"RIO DE JANEIRO / MADRID",245440,"3.00","5400.00"
"BARCO DE PEDRA",187390,"3.00","111.00"
"MOUSE OPTICO",29920,"3.00","177.00"
"AS CRÔNICAS DE ANDROMEDA",69030,"3.00","207.00"
"SAMSUNG XY 4",153190,"2.00","2400.00"
"TITANS",58080,"3.00","294.00"
"SAO PAULO / SALVADOR",40230,"1.00","450.00"
"SAO PAULO / RECIFE",94550,"4.00","1440.00"
"JUST DANCE",42220,"5.00","495.00"
"AS CRÔNICAS DE ANDROMEDA",60230,"3.00","207.00"
"UM CASO PERDIDO",142040,"4.00","224.00"
"PENDRIVE 32 MULTILASER",234050,"1.00","50.00"
"GALAXY NOTE",123380,"5.00","14500.00"
"SONY I5",83740,"5.00","9000.00"
"PHONE 5",128380,"4.00","10000.00"
"NOTEBOOK MSFT 17",195880,"5.00","15500.00"
"FABULA",8810,"2.00","240.00"
"XTG RAD D3",232370,"1.00","700.00"
"CARTAO SD 128 GB SANDISK",128040,"2.00","312.00"
"NOTEBOOK MSFT TOUCH",216930,"2.00","7000.00"
"MOTO Z PLAY 3",130780,"5.00","5750.00"
"O PEQUENO",200240,"2.00","86.00"
"HOMEM DE AÇO",148170,"5.00","225.00"
"PHONE 5",125030,"2.00","5000.00"
"DESKTOP P5 HP",169890,"2.00","2800.00"
"MOCHILA NOTEBOOK 15.6 POL",80360,"3.00","327.00"
"JACKSON",227720,"1.00","34.00"
"RIO DE JANEIRO / PARIS",219660,"5.00","11500.00"
"A VIDA SECRETA",216480,"3.00","111.00"
"HD 1T SAMSUNG",71490,"4.00","1040.00"
"TV LED 42 SONY",199620,"4.00","8000.00"
"PC DUAL CORE",245990,"2.00","2700.00"
"NOTEBOOK HP C-34",22330,"4.00","9200.00"
"RIO DE JANEIRO / MADRID",200810,"2.00","3600.00"
"CAVALEIROS DE PRATA",185780,"2.00","290.00"
"CADEIRA DE FERRO",90140,"3.00","900.00"
"HD 2T",215830,"1.00","650.00"
"THIEF",29140,"2.00","280.00"
"MOTO G5",66200,"2.00","1358.00"
"MICROONDAS BRASTEMP",146360,"4.00","2400.00"
"SAO PAULO / MIAMI",21340,"2.00","4600.00"
"SAO PAULO / MIAMI",15410,"1.00","2300.00"
"REVELADOS",189730,"3.00","144.00"
"JUICER ARNO",87780,"4.00","1800.00"
"DREAMC QUARTY",71400,"1.00","180.00"
"ROTEADOR WIRELESS",180920,"4.00","360.00"
"HD 2T",49910,"4.00","2600.00"
"TECLADO WIRELESS MULTILASER",119550,"2.00","240.00"
"SONY I7",39280,"1.00","2500.00"
"SAO PAULO / ROMA",191880,"4.00","11200.00"
"DIÁRIO ROMÂNTICO",174230,"2.00","352.00"
"TABLET 10 LENOVO",148630,"3.00","2400.00"
"MEMORIA DDR 3 4GB",66760,"4.00","320.00"
"DIABO",95020,"1.00","99.00"
"CADEIRA DE FERRO",121120,"2.00","600.00"
"DIABO",58480,"4.00","396.00"
"MESA JANTAR 6 LUGARES",81820,"3.00","7500.00"
"MESA 4 LUGARES",41900,"4.00","4000.00"
"JUICER ARNO",166380,"1.00","450.00"
"NOTEBOOK SONY JK",59990,"4.00","11200.00"
"HOME THEATER PANASONIC",149160,"2.00","490.00"
"MIXER WALLITA",107250,"2.00","320.00"
"REVELADOS",215920,"5.00","240.00"
"GRAVITACIONAL",194670,"4.00","312.00"
"SAO PAULO / MIAMI",117930,"5.00","11500.00"
"ADVANCED AZURE",238650,"1.00","70.00"
"MOTOROLA TV",216480,"3.00","2397.00"
"TV 3D SONY 42",120730,"4.00","12400.00"
"MEMORIA DDR 3 8GB",189190,"2.00","180.00"
"ARMARIO COZINHA 6 PORTAS",224950,"3.00","7500.00"
"DESKTOP P5 ML",134430,"2.00","2800.00"
"SAO PAULO / CURITIBA",6430,"5.00","1500.00"
"LAVADORA LG 10L",241080,"2.00","5600.00"
"SMART TV SAMSUNG 52",129230,"3.00","12900.00"
"SAO PAULO / CURITIBA",178760,"4.00","1200.00"
"MENTES CRIMINOSAS",245130,"1.00","210.00"
"RIO DE JANEIRO / CURITIBA",66520,"1.00","450.00"
"EXCHANGE 2014",161290,"2.00","260.00"
"CARTAO SD 32 GB SANDISK",189970,"2.00","64.00"
"CONJUNTO DE SOFA",20790,"2.00","7000.00"
"HOME THEATER LG",60200,"3.00","690.00"
"LAVA LOUCAS CCE",238200,"3.00","10800.00"
"GRAVITACIONAL",209440,"2.00","156.00"
"SAO PAULO / LIMA",31530,"4.00","7600.00"
"PENDRIVE 128",244360,"2.00","292.00"
"SQL SERVER 2016",174670,"2.00","60.00"
"SAO PAULO / RECIFE",66440,"2.00","720.00"
"SMART TV PHILIPS 46",76890,"3.00","9597.00"
"NOTEBOOK SONY AWS",54520,"2.00","5500.00"
"LIQUIDIFICADOR WALLITA",46020,"3.00","270.00"
"HD 3T",72880,"4.00","3040.00"
"TV LED 55 LG",211390,"2.00","7800.00"
"MESA 4 LUGARES",72340,"4.00","4000.00"
"DESKTOP P5 HP",175370,"3.00","4200.00"
"SONY I7",199970,"1.00","2500.00"
"DESKTOP I5",123020,"5.00","10500.00"
"NOTEBOOK HP INOVE",243830,"3.00","9900.00"
"RIO DE JANEIRO / MIAMI",25310,"3.00","5700.00"
"TV LED 55 LG",117110,"4.00","15600.00"
"HD 3T",231720,"4.00","3040.00"
"ESCOLINHA DO JUCA",23590,"2.00","112.00"
"TABLET 10 LENOVO",150790,"2.00","1600.00"
"ARMARIO COZINHA 6 PORTAS",174350,"4.00","10000.00"
"ROTEADOR 18 PORTAS",232620,"4.00","1200.00"
"DRAGON BLAZER",177960,"3.00","270.00"
"SMART TV SAMSUNG 52",141450,"1.00","4300.00"
"IPOD NANO 16",197020,"1.00","300.00"
"XTG E1",85780,"2.00","600.00"
"RIO DE JANEIRO / NEW YORK",64340,"2.00","5200.00"
"DRAGON BLAZER",95790,"4.00","360.00"
"A TEORIA",109510,"1.00","198.00"
"ROTEADOR 18 PORTAS",179850,"3.00","900.00"
"RIO DE JANEIRO / NEW YORK",182310,"3.00","7800.00"
"MAFIA",93780,"4.00","480.00"
"SAMSUNG DUOS",158330,"1.00","1100.00"
"LAVADORA LG 10L",140960,"4.00","11200.00"
"JOGOS MALÉFICOS",59390,"2.00","76.00"
"MOCHILA NOTEBOOK 17 POL",198540,"3.00","417.00"
"DIÁRIO ROMÂNTICO",10330,"2.00","352.00"
"CARTAO SD 64 GB SAMSUNG",252280,"3.00","234.00"
"GLADIADORES",137050,"1.00","145.00"
"DESKTOP P5 HP",136400,"5.00","7000.00"
"MOTO G5",163140,"4.00","2716.00"
"CADEIRA DE FERRO",86610,"2.00","600.00"
"EXCHANGE 2014",139190,"3.00","390.00"
"NOTEBOOK LN 17",131370,"5.00","10500.00"
"SMART TV PANASONIC 42",231950,"2.00","4400.00"
"SQL SERVER 2016",203860,"4.00","120.00"
"LIQUIDIFICADOR ARNO",238750,"1.00","87.00"
"IPAD 64",64190,"1.00","2500.00"
"MEMORIA DDR 3 32GB",157270,"3.00","1050.00"
"SAO PAULO / BUENOS AIRES",11490,"4.00","4360.00"
"MOUSE OPTICO",148300,"4.00","236.00"
"CARREGADOR UNIVERSAL NOKIA",168940,"3.00","300.00"
"CHAPA A GAS GANCA",16320,"3.00","5400.00"
"O PEQUENO",244990,"2.00","86.00"
"DESKTOP A5 ML",59470,"3.00","3900.00"
"JACKSON",198870,"2.00","68.00"
"LEITOR DE CARTOES",139270,"4.00","136.00"
"FAMILIA PARATTO",142150,"2.00","268.00"
"RACK TV MOGNO",214770,"2.00","3000.00"
"MESA DE CENTRO",176830,"3.00","1500.00"
"MOCHILA NOTEBOOK 17 POL",161800,"1.00","139.00"
"XTG RAD D3",124640,"1.00","700.00"
"MEMORIA DDR 3 16GB",153030,"1.00","140.00"
"A CULPA É DAS ESTRELAS",193880,"5.00","120.00"
"A CULPA É DAS ESTRELAS",85620,"2.00","48.00"
"XTG RAD D3",158710,"4.00","2800.00"
"FABULA",200200,"5.00","600.00"
"DRAGON BLAZER",7790,"4.00","360.00"
"CONJUNTO DE SOFA",209000,"4.00","14000.00"
"SOCCER 2018",193240,"2.00","290.00"
"CARTAO SD 128 GB SANDISK",168850,"3.00","468.00"
"TV LED 32 SAMSUNG",26340,"4.00","4840.00"
"FUTEBOL 2018",74520,"3.00","435.00"
"BATEDEIRA BRASTEMP",210430,"1.00","120.00"
"FANTASY STAR",140780,"3.00","267.00"
"TV LED 55 LG",152930,"3.00","11700.00"
"HOME THEATER LG",117400,"4.00","920.00"
"CARTAO SD 64 GB SAMSUNG",139360,"2.00","156.00"
"HOME THEATER LG",77480,"4.00","920.00"
"PENDRIVE 256",183060,"1.00","240.00"
"LEITOR DE CARTOES",140330,"4.00","136.00"
"SAO PAULO / LIMA",218850,"3.00","5700.00"
"LEITOR DE CARTOES MULTILASER",195360,"3.00","72.00"
"JOGOS VORAZES",34550,"2.00","90.00"
"PLACA DE SOM",220220,"3.00","870.00"
"PENDRIVE 64 ML",119280,"3.00","255.00"
"TV LED 42 LG",219980,"2.00","4000.00"
