"nome","razao_social"
"MARIA DAS MERCES DE SOUSA VIANA","SCANSOURCE BRASIL DISTRIBUIDORA DE TECNOLOGIA LTDA"
"FRANCISCA JANILANY MIRANDA LOURENÇO","SEBASTIAO JULIAO TEIXEIRA POUSADA ME"
"HANNA JESSICA PINHO BONFIM","MUNICIPIO DE ITU"
"IFICLIS MARLEY VITAL GOMES","MUNICIPIO DE NOVO HORIZONTE"
"ANA GABRIELA MARTINS DA SILVA","MUNICIPIO DE SANTA GERTRUDES"
"NEUZELITA RODRIGUES DE ALENCAR","SIQUEIRA SHOPPING COLCHOARIA LTDA - EPP"
"FLÁVIA CRISTINA ROSA MENDES","NOVO MUNDO COMERCIO DE VARIEDADES EIRELI"
"LEONARDO QUEZADO DE MENESES","CLUBE DO LEITAO COMERCIO PRODUTOS ALIMENTICIOS LTDA"
"GIULIA ARAUJO MANCILLA","COMERCIAL DE ALIMENTOS BATISTA LTDA"
"CINTHIA DA SILVA MARTINS","COMERCIAL NI DISTRIBUIDORA DE ALIMENTOS LTDA"
"NEIZE HONORATO DE SOUSA","TECITURA INDUSTRIA E COMERCIO DE CONFECCOES LTDA ME"
"ANTONIA ALBA DA SILVA RODRIGUES","TERESA DAYSE VASCONCELOS FERREIRA DE PAULA 68926189368"
"IVANILSON SOUSA SILVINO","TEREZA ISAIAS LIMA - ME"
"MARIA LAURILENE PEREIRA","COSTA INCORPORADORA E PARTICIPACOES LTDA"
"WENDEL NILDO MATOS","VICENTE XISTO CUPERTINO"
"JECILDO DA COSTA DE OLIVEIRA","SUPERINDENDENCIA MUNICIPAL DE TRANSITO E TRANSPORTES - ITABAIANA/SE"
"MICHELE DO NASCIMENTO FERREIRA SILVA","SUPERINDENDENCIA MUNICIPAL DE TRANSITO (SUMUT)"
"MARIA MARGARETE SOUSA DA SILVA","SUPERMERCADO MACHADO LTDA"
"FRANCISCO ALISSON SOUSA DA SILVA","PEDRO HENRIQUE DE OLIVEIRA MAQUINA"
"RAPHAEL BRITO HOLANDA SOARES","R T COSTA FELICIANO"
"RAIMUNDO LUIZ DA SILVEIRA","COMMIT GAS S.A"
"ELIZABETH MORAIS MARQUES DO NASCIMENTO","CUNHA EDIFICAÇÕES E CONSTRUÇÕES LTDA"
"JARBAS RONIE VERAS PEREIRA","SILVERIO BAGGIO"
"FRANCISCO LUCAS BEZERRA SARAIVA","SILVERIO CONSULTORIA"
"JEANNINE GOMES DE MENEZES","DISTRIBUIDORA DE ALIMENTOS FARTURA S A"
"CARLOS IGOR BARROS SILVA","DOCA COMERCIO DE PRODUTOS ALIMENTICIOS LTDA"
"SAMIA REGINA CAVALCANTE RODRIGUES","Z R L OTICAS LTDA"
"THIAGO CUNHA DE SOUZA","RN COMERCIO VAREJISTA S.A"
"ELISON OLIVEIRA CHAVIER","SIMA COMERCIO DE MATERIAIS DE SEGURANCAS E FERRAMENTAS LTDA"
"YVANÁ SAMARA DO NASCIMENTO RODRIGUES","FABIANA PEREIRA DE LIMA PEREIRA EIRELI"
"CICERO GOMES DE MORAIS FILHO","EGIDIO FRAGOSO SANTANA"
"PAULO JOSÉ BEZERRA MORAES","FLORESTAL ALIMENTOS SA"
"RITA LUIZA FERREIRA FACUNDO","AGENCIA TOCANTINENSE DE TRANSPORTES E OBRAS - AGETO"
"JOSELENE DOS SANTOS","AILDA MARIA ALVES DE SOUSA ME"
"ROSIANY DA SILVA FREITAS","ALIMAC DISTRIBUIDORA DE ALIMENTOS LTDA"
"JUCELIA VITORIO MOTA","SOS BALANÇAS E COMÉRCIO DE EQUIPAMENTOS LTDA"
"FRANCISCA ROSÂNGELA NASCIMENTO FACUNDO","SOLUCAO CERTIFICACAO DIGITAL LTDA"
"HELANO BARROSO GOMES DE SOUSA","A L A CAVALCANTE ME"
"JOSE CRISTIANO LOPES FERREIRA","DEC PRODUTOS VETERINARIOS LTDA"
"CAMILA OTOCH PINHEIRO","ALDEMIR OLIVEIRA DA SILVA NETO LTDA"
"INGRID DE OLIVEIRA LIMA","ANTONIA FERREIRA DA SILVA PONTES - ME"
"CAMILA FRANZA  GIMENES","ANDREZA ALVES DOS SANTOS - ME"
"ANTONIA VILMÁRIA ANDRÉ COSTA","VERA LUCIA CORREIA DE ALMEIDA"
"FRANCISCO DONES PEREIRA SALES","GALL COMERCIO E REPRESENTACOES LTDA ME"
"BRUNA SABINO JOTA","D.T. FARMA PRODUTOS FARMACEUTICOS LTDA - EPP"
"LARA SANTANA PACHECO DE SOUSA","MEGA MOTOS COMERCIO IMPORTAÇÃO E EXPORTACAO LTDA"
"WENDSON CARNEIRO DA SILVA","MEIA SOLA ACESSORIOS DE MODA LTDA"
"MARLUCIA DE LIMA MARIANO","NESTLE BRASIL LTDA."
"RAUL MUNIZ MARINHO","E A TURATTO EPP"
"VICTOR RYAN SILVA FEITOSA","E G DA SILVA VARIEDADES"
"CECÍLIA DE LIMA LEITE","E M DE MOURA EIRELI"
"ANDREA MARQUES DE OLIVEIRA BARBOSA","BRF S.A."
"RAQUEL CLEMENTINO JORGE","WESLEY PEREIRA FERREIRA VARIEDADES - ME"
"LUANA MENDES DA SILVA","ONEXIMO COMERCIO DE ELETRODOMESTICO LTDA"
"LUCAS ARAUJO ACIOLI MOREIRA","CBC DISTRIBUIDORA DE ACESSORIOS EIRELI"
"FRANCISCA MARIANE DE SOUSA SILVA","ARCELORMITTAL BRASIL S.A"
"JOÃO PEDRO DA SILVA GUEDES","ARTE OURO EIRELI"
"CLAUDIA PRUDENCIO HOLANDA AZEVEDO","AS CLINICA DR ATANASIO DOS SANTOS LTDA"
"FRANCISCO GILCIVAN MOREIRA SILVA","AURISTELA CARVALHO ME"
"CLARISSA COSTA DE LIMA","AUTO ESCOLA ATITUDE"
"FRANCISCO VANDERLEI FRANÇA DE MELO","AUTOCAMP COMERCIO DE AUTO PECAS LTDA."
"JOAO PAULO DA SILVA","B C FORTALEZA COMERCIO DE COSMETICOS LTD"
"JOÃO BATISTA DE NORONHA","B CARNEIRO DA SILVA"
"ANTONIO LEANDRO ROCHA BEZERRA","BAXTER HOSPITALAR LTDA"
"LARISSA ESTEFÂNE PINHEIRO ARAÚJO","EFFICAX TRANSPORTES LTDA"
"NATANAEL FEITOSA DE LIMA","EGIDIO A F DA SILVA COMERCIO EPP"
"ERIKA DA SILVEIRA PORDEUS","ZAROO CONFECCOES LTDA - ME"
"GENILSON LEMOS DA SILVA","DANIELE MONTEIRO DE CASTRO"
"JAMILLY GUIMARÃES OLIVEIRA","DAVI NUNES OLIVEIRA - ME"
"WEDRESSON ALVES DA SILVA ARAUJO","CASA DO TEMPERO LTDA"
"THIARA BENÍCIO DA SILVA VASCONCELOS","CENETRAN CENTRO DE EDUCACAO DE TRANSITO LTDA"
"FRANCISCO EUDO BEZERRA","CENTRO DE FORMACAO DE CONDUTORES BRILHANTE LTDA"
"ALICE KELLY SANTOS PEREIRA","CENTRO DE FORMACAO DE CONDUTORES CL AB AUTO CONFIANCA LTDA - ME"
"SARAH DE MORAES MACHADO","CENTRO DE FORMACAO DE CONDUTORES J. FERNANDES BEZERRA NETO LTDA"
"FRANCISCA ADRIANA COSTA DOS SANTOS","PAULISTA CONSTRUCOES SPE LTDA"
"LO-RUAMA DO NASCIMENTO SILVA","A R COMERCIAL DE RAÇÕES LTDA - ME"
"FELIPE VIANA LOPES","CENTRO DE FORMACAO DE CONDUTORES NOVA RUSSAS LTDA - ME"
"JOAO VICTOR DA SILVA SANTOS","CENTRO FORMACAO DE CONDUTORES CEDRO LTDA"
"FRANCISCO DANILO RODRIGUES ESCALEIRA","COMERCIAL MINAS AMW LTDA"
"GILSON OMAR DE SOUZA JUNIOR","FRANCISCO FILIZOLA DE ALMEIDA NETO"
"ICARO LEANDRO DA COSTA","G S LIMA ALIMENTOS"
"ANA BEATRIZ LEONARDO DA SILVA","GIGASETE TELECOM LTDA"
"LARISSA ALVES DIONÍZIO","GINA PARENTE CESAR EIRELI"
"VITORIA PEREIRA SILVA","GINA PARENTE CESAR EIRELI"
"AUDILANIA RODRIGUES DA SI","GLOBAL DISTRIBUICAO DE BENS DE CONSUMO LTDA"
"DANIELA LINO DA SILVA","GLOBAL SOLUCOES EM SAUDE LTDA"
"FRANCISCO FERREIRA DA SILVA","HAROLDO BENEVIDES ADVOGADOS ASSOCIADOS"
"MARIA VIVIANE SARAIVA DA COSTA","J IRIS COMÉRCIO DE MOVEIS LTDA ME"
"PAULO ANTONIO FELIX ALVES","J. M. GRANDI"
"WILIDISNEI NASCIMENTO SILVA","J W R COMERCIO E SERVICOS DE REFRIGERACAO E LOCACAO DE AUTOM"
"FRANCISCA JANAINA DOS SANTOS","JLB PESCADOS LTDA"
"EMERSON DE SOUSA DA SILVA","JOSE EUDIMAR PINTO MICROEMPRESA"
"ANA BARBOSA RODRIGUES","MARIA VALDENIA SOUSA - ME"
"ISAAC BRUNO FALCAO COSTA","MD ROL COMERCIO DE ROLAMENTOS E PECAS LTDA ME"
"GUSTAVO AUGUSTO RODRIGUES DE MELO","MULTIPERLON COMERCIO DE TECIDOS EIRELI"
"DANIEL SOUSA NOGUEIRA NETO","MUNICIPIO DE AGUAS DE LINDOIA"
"SONIA DOS SANTOS FERREIRA","MUNICIPIO DE ARACATUBA"
"KAUÊ PEREIRA DA COSTA","MUNICIPIO DE BURITAMA"
"RAFAELY SAMYLLE SILVA DE SOUSA","MUNICIPIO DE CAMETA"
"FRANCISCO GILDEVAN BRITO LAURENTINO","MUNICIPIO DE CARMOPOLIS"
"FRANCISCO IRANILDO ALMEIDA PINTO","MUNICIPIO DE CORDEIROPOLIS"
"CAIO FABIO FERNANDES DO NASCIMENTO","MUNICIPIO DE DOM ELISEU"
"FRANCISCO SEBASTIÃO DA SILVA MACIEL","MUNICIPIO DE FERNANDOPOLIS"
"FRANCISCO EVANDRO DE MATOS ROCHA","MUNICIPIO DE ITATIBA"
"MARCIRA BEZERRA MORORÓ FERNANDES","MUNICIPIO DE PALMAS"
"FRANCISCO AUDIZIO ALVES DA SILVA FILHO","MUNICIPIO DE SINOP"
"FRANCISCA LARISSA DUARTE DE OLIVEIRA","MUNICIPIO DE TIMON"
"JOSÊNARIA BEZERRA DA SILVA","NOVA TEXTIL COMERCIO E IMPORTACAO DE TECIDOS LTDA EPP"
"FRANCISCA VALDA TAVARES DIAS","PACHES ESSENCIAIS COMERCIO VAREJISTA LTDA"
"JULIANA LOURENÇO MONTEIRO","PAQUETÁ CALÇADOS LTDA"
"ELISANGELA MARIA LIMA DOS SANTOS","PBG S/A"
"LAYSE CRISTINA ALVES DE SOUSA","PEDRO VICTOR F. SILVA - ME"
"JAQUELINE ALVES GOMES","PEREIRAS COMERCIO TRANSPORTE E LOGISTICA LTDA ME"
"JOSE EMILIANO FEITOSA DE BRITO","PHF-AUDITORES INDEPENDENTES S/S"
"ANDREA EVANGELISTA","PIRES E GONCALVES ADVOGADOS ASSOCIADOS"
"JULIANA PITA DE ALBUQUERQUE PEREIRA","PISON EQUIPAMENTOS DE INFORMATICA"
"INGRID JUCÁ DE BRITO","PLANETA II FARDAMENTOS E EQUIPAMENTOS DE SEGURANC"
"MARIA CLARA PASSOS ARAUJO","PORTO A PORTO COMERCIO IMPORTACAO E EXPORTACAO LTD"
"FRANCISCO LIMA DE SOUZA","R. GOMES SOUSA LTDA"
"RIAN MOUSA SA","R S MORANGOS COM EIR"
"RENATA DE PAULA ARRUDA LEITE","RYAN COMERCIO DE CONFECCOES E ELETRODOMESTICOS LTDA -ME"
"LEONARDO RAMSES PAIVA ALMEIDA","SAO JOSE IMAGEM LTDA"
"ROSANGELA MARIA PERES","TOP SHOW COMERCIO DE CONFECCOES LTDA ME"
"JOSE OLAVO CERQUEIRA ROCHA FILHO","TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIRO"
"JOANA DARC LOPES DA MOTA","Z R L OTICAS LTDA"
"SAMUEL GALVÃO PEREIRA","7PET"
"MARIA JHENIFER NASCIMENTO DE OLIVEIRA","EDISANDRO SILVA DE AQUINO - EIRELI"
"GRAZIELA MILANI LEAL"," F A DE OLIVEIRA MATERIAL DE CONSTRUCAO EIRELI"
"ANDRE BARBOSA SANTOS MORAIS","F. V. MAGALHAES"
"EDUARDA NORONHA ALMEIDA","RAVANNE SOARES ABDON-ME"
"FRANCISCO DANIEL GOMES FRANCO","RESTAURANTE SELF SERVICE CANTINA PRIMUS LTDA - ME"
"PATRICIA GOMES SOUSA","GOLDEN DISTRIBUIDORA LTDA."
"RENATA LOPES DA SILVA RODRIGUES","ILUMINA BRASIL PRODUTOS DE BIOTECNOLOGIA LTDA"
"CYNTIA MARIZZE BRITO DE SOUSA E SILVA","JANAINA CARVALHO BRAZ MACEDO"
"CRISELIA RIBEIRO DE ALBUQUERQUE","JARVYS EXODA DE OLIVEIRA ME"
"CISLANDIA ALBERTO CAMPOS","JJ CAR COMERCIO DE VEICULOS LTDA"
"MARIA DOLORES DOS SANTOS","F MILTON DE MEDEIROS CONSTRUCOES ME"
"KILVIA DE ARAUJO VIANA","FARMACIA MACIEL E VASCONCELOS LTDA ME"
"RENATA MONTEIRO BASTOS","FE ATACADISTA DE ALIMENTOS LTDA"
"KAYLANE MARQUES DA SILVA","ANTONIO VICENTE DA SILVA ARMARINHO EPP"
"MARCELO KAIQUE BEZERRA PINHEIRO","BUFFALO"
"RUBENS RICARTE MOREIRA","BIOSAVE-DIAGNOSTICA LTDA"
"FERNANDO ALVES DA SILVA","JOAO LIVIO DA SILVA TORRES-ME"
"ANTONIO EMERCIO LEITAO","CDP MADEIRAS EIRELI - ME"
"MARCIO DIAS ALVES","CENTRO DE FORMACAO DE CONDUTOR AUTO-ESCOLA R-MARTINS LTDA"
"RICARDO COSTA BARBOSA","COMERCIAL CASA DAS FRUTAS LTDA"
"IVERLANO DEYSON MARTINS DE ARAUJO","COMERCIAL MILITAO LTDA"
"LIVIA VIRLE ALVEZ VIANA","MALIBRU AGRO INDÚSTRIA DISTRIBUIÇÃO IMPORTAÇÃO E EXPORTAÇÃO S.A"
"MARIA JOSE CARVALHO PESSOA","MANANU INDUSTRIA E COMERCIO DE CONFECCOES EIRELI"
"ALBERTO ADAM CRUZ MARREIRO","MANOEL C DA SILVA ME"
"JOSE BAPTISTA DE SANTANNA NETO","MARCELO R ROCHA TRANSPORTES"
"VALMIRA BARROS DE OLIVEIRA","NOGUEIRA E CAMPOS LTDA"
"PAULO VINICIOS DE ALMEIDA MONTEIRO","VH COMERCIAL DE MATERIAL DE CONSTRUCOES LTDA"
"VERA LUCIA PEREIRA BATISTA","E M RAMOS COMERCIO VAREJISTA DE MATERIAL ELÉTRICO E HIDRAULI"
"MARIA KAROLINA DE OLIVEIRA FERREIRA","EDMAR ALVES DO NASCIMENTO"
"ALBÉRICO NASCIMENTO ALEIXO","MPC COMERCIAL DE COSMETICOS LTDA"
"KELLY MONIQUE SANTOS OLIVEIRA","MULTIMARCAS ADMINISTRADORA DE CONSORCIOS LTDA"
"LUCAS  PEREIRA DA SILVA","MARIA OLIVIA MARTINS MENESES- MICROEMPRESA"
"FRANCISCA JACINTA CARLOS","PATRONATO SANTANA"
"ANA CRISTINA LOPES GIRAO DA SILVA","PAULO CESAR SOCIEDADE DE ADVOGADOS"
"ANGELICA SANTOS DE ARAUJO","ESTACAO PRESENTES LTDA"
"ANA KECIA MACIEL SILVA","PAUSA COMERCIO DE MOVEIS E ARTIGOS DE DECORACAO LTDA - EPP"
"CARLA VANEZIA PEREIRA FREITAS OLIVEIRA","RAIMUNDO BALTAR ARAUJO MS"
"REGILDO DE LIMA AGUIAR","RODSEF - TRANSPORTES E LOGISTICA LTDA"
"CAROLINE DE SOUZA COUTINHO","FOCO REPRESENTAÇAO E CONSULTORIA LTDA"
"GABRIEL DURVAL ÂNGELO LIMA","HE SERVICE COMERCIO E SERVIÇOS EM COMPRESSORES LTDA"
"ADAILMA DE FREITAS SANTOS","SILVIO VIGIDO"
"ANTONIO CAUAN FIDELES DE SOUSA","SOBRAL COMERCIO DE PRODUTOS E ACESSORIOS DE LIMPEZA LTDA"
"CICERA DOS SANTOS MOREIRA","SISTRONIX SISTEMAS DE AUTOMACAO LTDA"
"JORGIANO DA SILVA MOURA","SOLIS SERVICOS COMBINADOS DE ADM LTDA ME"
"LIA MARIA SOUSA BORGES ARAUJO","FRIGORIFICO NOVILHO DE OURO LTDA EPP"
"MARIA PAMELA PEREIRA MESQUITA","CINTIA MARIA ALVES FACUNDO DE BRITO ME"
"ALEXO BARBOSA VIANA","E. M. COMERCIO DE ARMAS E MUNICOES LDA"
"ALINE AUDISIA FLORENCIO DA SILVA","SUPERMERCADO COMETA EIRELI"
"JOSÉ AMAURI DA SILVA JÚNIOR","FRANCISCO RONALDO NUNES LIMA 32667086368"
"ANACELIA DA SILVA FERREIRA","GEFRIO MULTIMODAL EIRELI"
"PAULO JACO DE CASTRO E SILVA","FRANCISCO MARCONDES DE CASTRO CAVALCANTE ME"
"THAIANE CAMELO TIMBO","GOMES E LIMA-EPP"
"SARA KELLY DE SOUSA LOUREN?O","GONET TELECOMUNICAÇÕES S/A"
"CICERO ROMAO ARAUJO CUNHA","MODERNA MOBILIA COMERCIO DE MOVEIS LTDA"
"SILVANIA FERNANDES PAIXAO","MODESTO INDUSTRIA E COMERCIO DE CALÇADOS LTDA"
"AVILINA MARIA COSTA MAIA","MOISES E CIRINO SOCIEDADE DE ADOVOGADOS"
"AMANDA CABRAL DIAS","INTERATLANTICO CONSTRUCOES LTDA"
"JACQUES DOUGLAS DE OLIVEIRA BATISTA","IPU COMERCIAL DE ELETROELETRONICOS LTDA EPP"
"ANTÔNIO IVANDI BRASILEIRO JÚNIOR","NATIVA LAB. PRODUTOS LABORATORIAIS LTDA"
"SARA DIAS DE PINHO","MACPRADO PRODUTOS OFTALMICOS LTDA"
"ALEJANDRO MAIA DO NASCIMENTO","JANMILE CARVALHO VASCONCELOS ARAUJO"
"WITALO MESQUITA XEREZ","IDFLUX TECHNOLOGIES E INFORMÁTICA BRASIL  LTDA"
"JOSE DARKSON COELHO","RAIMUNDA DA SILVA PORTO CRUZ"
"RANNYELI FELIX FERREIRA","TRAEVO ATIVIDADES DE CONSULTORIA EM GESTAO EMPRESARIAL LTDA"
"ANTONIA LEONARDA DA CONCEICAO DOS SANTOS","TRANSKOMPA LTDA"
"HEDWIGENS LUZAMAR DOS SANTOS MARTINS","U M DO NASCIMENTO RODRIGUES MOVEIS E ELETRO ME E ELETRO ME"
"ANTONIO JOAQUIM DE SOUSA NETO","MARQUES & OLIVEIRA SOCIEDADE DE ADVOGADOS"
"MARA MOREIRA DE SOUSA","ZECODE TECHONOLOGY LTDA EPP"
"LEONARDO CAVALCANTE DE AQUINO","RANIERI NOGUEIRA SOARES"
"HELLEN VITORIA GONÇALVES NASCIMENTO","JERI DUNAS HOTELARIA LTDA"
"BRUNO MATIAS DA SILVA","V&G COMERCIO VAREJISTA DE ARTIGOS RELIGIOSOS LTDA-ME"
"PALOMA DE SOUZA MIGUEL","LUZIMAR MARIA DAMASCENO DE ARAUJO"
"ALEXSANDRA DE SOUZA CIPRIANO REINALDO","SILVIO QUEIROZ SERVICOS EIRELI"
"FRANCISCO EDUARDO FERNANDES DA SILVA","M. G. RIBEIRO CONFECCOES - ME"
"PEDRO HENRIQUE DO NASCIMENTO ARRUDA","JUAZEIRO DO NORTE POINT COMERCIO DE ALIMENTOS LTDA"
"MARIA DO SOCORRO VASCONCELOS","M DAS GRACAS NOBRE MICROEMPRESA"
"FRANCISCA VALQUIRIA DE VASONCELOS","JOSE AUGUSTO DE OLIVEIRA PEÇAS MICROEMPRESA"
"EDISIO VIEIRA DA SILVA","KAFKA BABY INDUSTRIA E COMERCIO DE CONFECCOES LTDA"
"MARCOS ANTONIO DA SILVA JUNIOR","M C S RODRIGUES ME"
"JANDERSON BARBOZA GOMES"," THAYRINE FERREIRA DA COSTA ME"
"AYSSA MOREIRA MONTEIRO","LA EM CASA REFEICOES LTDA"
"JOAO VICTOR MOURA ALVES","KLEITON VEICULOS LTDA"
"MATHEUS FERREIRA DE MELO","LARA DE ANDRADE ARARIPE"
"TALES MEIRELES JORGE DE SOUSA","MEGA ATACAREJO LTDA"
"PEDRO LUCAS GOES","NOME EMPRESARIAL  CIMASP COMERCIO E INDUSTRIA DE EQUIPAMENTOS SERVICOS E PECAS EIRELI"
"ADRIANO BARBOSA MEDEIROS","NORTHWARE COMERCIO E SERVICOS LTDA"
"ANA CAROLINE ARAUJO ALVES","OTONI & RODRIGUES - ADVOGADOS ASSOCIADOS"
"IWAN ROBERT RIBEIRO DE VASCONCELOS","OUROFERTIL NORDESTE LTDA"
"THAIS SILVA SABINO","LEONARDO AGRO MINERIUM EIRELI - ME"
"VITÓRIA KAROLINE PEREIRA MARTINS","FREITAS PERFURACOES E CONSTRUCOES LTDA"
"MANOEL CANDIDO CONÇALVES","COOPERATIVA DOS TRANSPORTADORES DO VALE - COOTRAVALE"
"SIMONE CHAVES PARENTE","ACENT RADIOS DE COMUNICACAO COMERCIO E SERVICOS LTDA"
"FRANCISCO MIKAEL LOPES SANTOS","ACERVO WP LOCACAO PARA EVENTOS"
"FRANCISCA DAS CHAGAS RODRIGUES DA COSTA","RAYNNARA S DE FREITAS LTDA"
"PEDRO LUCAS PONTES BARBOSA","JOSE SALUSTIANO CARNEIRO"
"SUNAMITA DE PAULO PEREIRA","AF SOUSA COMERCIAL DE MAQUINAS E CONFECCAO E MANUTENCAO DE MAQUINAS LTDA"
"ANA KAROLLYNE MARTINS DA SILVA","AGIL CONCURSOS LTDA"
"EDIMAR DO NASCIMENTO","LOJA DAS FERRAGENS COMERCIO DE FERRAMENTAS LTDA"
"TATIANA DE LIMA CAMPOS","LSC - LOCACAO DE EQUIPAMENTOS E SERVICOS LTDA"
"JOSÉ TEIXEIRA LOPES FILHO","MG DE SOUSA CARVALHO & CIA LTDA"
"MATEUS SANTOS DA SILVA","REISMED COMERCIO DE PRODUTOS HOSPITALARES LTDA"
"CLAUDIA WEYNE MELO DE CASTRO FERREIRA GOMES","5001 TRANSPORTES LTDA"
"LEIDIANE GOMES CARNEIRO","74.134.354/0001-65"
"GUILHERME DUARTE DE OLIVEIRA","OZIANA PEREIRA DE SOUSA - ME"
"JOAO DE SOUSA BOMFIM NETO","M F SILVA TRANSPORTES E LOGISTICA LTDA"
"JACKSON MOTA DA SILVA","MACHBERT EQUIPAMENTOS E SERVICOS LTDA"
"MICHELE DA SILVA FERREIRA","MARA SAMYA PESSA DIAS ME"
"JULIANA DAMASCENO LIMA","PICCOLI CONSULTORIA EIRELI"
"EDUARDO SOARES DE OLIVEIRA","POTENCY CAR AUTOMOVEIS LTDA"
"WELLINGTON FRANCISCO DO NASCIMENTO","MARIA DE FATIMA ARAUJO ME"
"JOSE ROBERIO RIBEIRO DO NASCIMENTO","REGIVIANA DE SOUSA SILVA"
"MARIA IMACULADA DA CONCEIÇAO BENTO DE SOUSA","REINA ISABEL OLIVEIRA CANDIDO"
"JOÃO CARLOS BRITO COSTA","MARIA HERMILINDA MONTE LINHARES ME"
"MARIA LUDIMILA BARBOSA NOBRE","MIGUEL ANTONIO DE OLIVEIRA ME"
"MARIA APARECIDA DE SOUSA SILVA","BETEL INDUSTRIA E COMERCIO DE TELHAS LTDA EPP"
"GLAUCIA SALES DE SOLSA","MB COMERCIO DE MATERIAIS DE CONSTRUÇÃO LTDA"
"LETICIA GOMES MOREIRA","SITIO BARREIRAS FRUTICULTURA LTDA"
"ALEXANDRA CARNEIRO RODRIGUES","CAMANOR PRODUTOS MARINHOS S.A"
"FELIPE WENDEL COELHO AGUIAR","SW COMERCIO DE COLCHOES E ESTOFADOS LTDA"
"ANTONIO VALTER FARIAS DE SOUZA","CARGOCENTER AGENCIA DE CARGAS LTDA"
"LEVI AVILA RIBEIRO","NORONHA DISTRIBUIDORA DE PETROLEO EIRELI"
"RITA DE CASSIA  FURTADO FONSECA","V ARAUJO COSTA METAL ME"
"FRANCISCO LINDELVANIO PEREIRA DA SILVA","CHAMATEC COMERCIO E SERVICO LTDA"
"MARIA VALDELICE TEIXEIRA NUNES","MÉTIER ADEGAS"
"FRANCISCO FABIO TAVARES SA JUNIOR","CHINA BIJU COMERCIAL DE VARIEDADES LTDA"
"MICHELLE DE ANDRADE SALLES","MIDOES COMERCIO DE MATERIAL RECICLAVEL LTDA- EPP"
"CARLA BARBARA DUARTE PEREIRA","MULT MED COMERCIAL DE PRODUTOS ODONTO MEDICOS LTDA ME"
"ANA JESSYCA RODRIGUES DA SILVA","MULT PECAS COMERCIO DE AUTOPECAS EIRELI ME"
"PAULO ROMEU HOLANDA PRACIANO","MUNICIPIO DE PIRASSUNUNGA"
"MARIA ELIZANGELA BEZERRA DE OLIVEIRA","MUNICIPIO DE PROMISSAO"
"CAIQUE ANTONIO DE ANDRADE CAVALCANTE","MUNICIPIO DE TANABI"
"MARIA NATÁLIA PINHEIRO","M2ECOPLAC INDUSTRIA DE MADEIRAS LTDA"
"ANTONIO EDINIR BRAZ LIMA","VIVIANY PAULINO DOS SANTOS"
"CLEVERTON OLIVEIRA DA SILVA","W F VIEIRA ACAI LIMITADA"
"MARIA LUCIA GOMES","REGISLANDA PAIVA DE ARAUJO"
"RENATA MARA ALVES SOUSA","WALLYSON M CARVALHO LTDA"
"ESMAELY SANTANA DA SILVA","P CESAR DE ARAUJO"
"AILTON CARLOS BENTO DE SOUSA","PACIFICO LOG LOGISTICA E TRANSPORTES EIRELI"
"MAITY SIMONE GUERREIRO SIQUEIRA","PAI E FILHO CONSTRUCOES EIRELI"
"FRANCISCO GLEISON ALVES","05848852000238"
"ANDREA SOUSA PEREIRA","3L&T COMERCIO VAREJISTA DE JOIAS E ACESSORIOS EIRELI"
"GILZA LÍVIA SANTIAGO BATISTA","ELAINE FONTENELE MAGALHAES ME"
"ADAUTO SOUSA LIMA DIAS BISNETO","A W F MACHADO"
"FRANCISCO JULIO COLHO DE LIMA","R A PLUTARCO COMERCIO DO VESTUARIO LTDA"
"ANA CARLA SOUZA DE LIMA","R. B. ARARIPE"
"LÍVIA DIAS MONTEIRO","R L JUSTINO FERRAGENS ME"
"MARIA DIANA DE OLIVEIRA BARBOSA","SANTA MARIA EMPREENDIMENTOS IMOBILIÁRIOS E AGRÍCOLAS LTDA"
"IVONILDE GOMES DE AVILA","F. DUTRA PEREIRA EIRELI"
"EVALDO COSTA DA SILVA","F E DA SILVA BORGES"
"NATANAEL SERAFIM DE ARAUJO","F ERIAUDO MONTEIRO ME"
"ANTÔNIO RAIMUNDO DO NASCIMENTO FILHO","F M DA CUNHA FARMACIA ME"
"MAYKO DE SOUSA FROTA SEVERO","REDE EXATA SUPERMERCADOS LTDA"
"GERMANO PAIVA DE CASTRO","RESTAURANTE E PIZZARIA FARIAS LTDA - EPP"
"ANDREA DE SOUZA ARAUJO","FRANCISCA IRANDE BATISTA BORGES"
"DAVI DA SILVA VIEIRA","F E RODRIGUES DE ALMEIDA COMERCIO E REPRESENTAÇÕES LTDA  ME"
"LOURIVAL DOMINGOS DA SILVA","FRANCISCO ALDEMIR BEZERRA DE SOUZA - EIRELI"
"FRANCILENE ROCHA PEREIRA","ROSA SAMPAIO P MAGALHAES"
"MARIA DE FATIMA MESQUITA","ASA INDUSTRIA E COMERCIO LTDA"
"SAMARA BEZERRA DA SILVA","RUTHE ARAUJO DE OLIVEIRA ME"
"JESSICA OLIVEIRA RUSSO","BELGO BEKAERT ARAMES LTDA"
"CLÁUDIA DE OLIVEIRA DA SILVA","SUPERMERCADO SUPER VILLA LTDA"
"JESSICA PAOLA DA SILVA MACHADO","CARLOS WILLIAM RODRIGUES NOGUEIRA"
