"cidade","estado"
"MIGUEL ALVES","PIAUÍ"
"MIGUEL LEÃO","PIAUÍ"
"MILTON BRANDÃO","PIAUÍ"
"MONSENHOR GIL","PIAUÍ"
"MONSENHOR HIPÓLITO","PIAUÍ"
"MONTE ALEGRE DO PIAUÍ","PIAUÍ"
"MORRO CABEÇA NO TEMPO","PIAUÍ"
"MUZAMBINHO","MINAS GERAIS"
"MORRO DO CHAPÉU DO PIAUÍ","PIAUÍ"
"MURICI DOS PORTELAS","PIAUÍ"
"NAZARÉ DO PIAUÍ","PIAUÍ"
"NAZÁRIA","PIAUÍ"
"NOSSA SENHORA DE NAZARÉ","PIAUÍ"
"NOSSA SENHORA DOS REMÉDIOS","PIAUÍ"
"NOVA SANTA RITA","PIAUÍ"
"NOVO ORIENTE DO PIAUÍ","PIAUÍ"
"NOVO SANTO ANTÔNIO","PIAUÍ"
"OEIRAS","PIAUÍ"
"OLHO D'ÁGUA DO PIAUÍ","PIAUÍ"
"PADRE MARCOS","PIAUÍ"
"PAES LANDIM","PIAUÍ"
"PAJEÚ DO PIAUÍ","PIAUÍ"
"PALMEIRA DO PIAUÍ","PIAUÍ"
"PALMEIRAIS","PIAUÍ"
"PAQUETÁ","PIAUÍ"
"PARNAGUÁ","PIAUÍ"
"PARNAÍBA","PIAUÍ"
"PASSAGEM FRANCA DO PIAUÍ","PIAUÍ"
"PATOS DO PIAUÍ","PIAUÍ"
"PAU D'ARCO DO PIAUÍ","PIAUÍ"
"PAULISTANA","PIAUÍ"
"PAVUSSU","PIAUÍ"
"PEDRO II","PIAUÍ"
"PEDRO LAURENTINO","PIAUÍ"
"PIMENTEIRAS","PIAUÍ"
"PIO IX","PIAUÍ"
"PIRACURUCA","PIAUÍ"
"PIRIPIRI","PIAUÍ"
"PORTO","PIAUÍ"
"PORTO ALEGRE DO PIAUÍ","PIAUÍ"
"PRATA DO PIAUÍ","PIAUÍ"
"QUEIMADA NOVA","PIAUÍ"
"REDENÇÃO DO GURGUÉIA","PIAUÍ"
"REGENERAÇÃO","PIAUÍ"
"RIACHO FRIO","PIAUÍ"
"RIBEIRA DO PIAUÍ","PIAUÍ"
"RIBEIRO GONÇALVES","PIAUÍ"
"RIO GRANDE DO PIAUÍ","PIAUÍ"
"SANTA CRUZ DO PIAUÍ","PIAUÍ"
"SANTA CRUZ DOS MILAGRES","PIAUÍ"
"SANTA FILOMENA","PIAUÍ"
"SANTA LUZ","PIAUÍ"
"SANTA ROSA DO PIAUÍ","PIAUÍ"
"SANTANA DO PIAUÍ","PIAUÍ"
"SANTO ANTÔNIO DE LISBOA","PIAUÍ"
"SANTO ANTÔNIO DOS MILAGRES","PIAUÍ"
"SANTO INÁCIO DO PIAUÍ","PIAUÍ"
"SÃO BRAZ DO PIAUÍ","PIAUÍ"
"SÃO FÉLIX DO PIAUÍ","PIAUÍ"
"SÃO FRANCISCO DE ASSIS DO PIAUÍ","PIAUÍ"
"SÃO FRANCISCO DO PIAUÍ","PIAUÍ"
"SÃO GONÇALO DO GURGUÉIA","PIAUÍ"
"SÃO GONÇALO DO PIAUÍ","PIAUÍ"
"SÃO JOÃO DA CANABRAVA","PIAUÍ"
"SÃO JOÃO DA FRONTEIRA","PIAUÍ"
"SÃO JOÃO DA SERRA","PIAUÍ"
"SÃO JOÃO DA VARJOTA","PIAUÍ"
"SÃO JOÃO DO ARRAIAL","PIAUÍ"
"SÃO JOÃO DO PIAUÍ","PIAUÍ"
"SÃO JOSÉ DO DIVINO","PIAUÍ"
"SÃO JOSÉ DO PEIXE","PIAUÍ"
"SÃO JOSÉ DO PIAUÍ","PIAUÍ"
"SÃO JULIÃO","PIAUÍ"
"SÃO LOURENÇO DO PIAUÍ","PIAUÍ"
"SÃO LUÍS DO PIAUÍ","PIAUÍ"
"SÃO MIGUEL DA BAIXA GRANDE","PIAUÍ"
"SÃO MIGUEL DO FIDALGO","PIAUÍ"
"SÃO MIGUEL DO TAPUIO","PIAUÍ"
"SÃO PEDRO DO PIAUÍ","PIAUÍ"
"SÃO RAIMUNDO NONATO","PIAUÍ"
"SEBASTIÃO BARROS","PIAUÍ"
"SEBASTIÃO LEAL","PIAUÍ"
"SIGEFREDO PACHECO","PIAUÍ"
"SIMÕES","PIAUÍ"
"SIMPLÍCIO MENDES","PIAUÍ"
"SOCORRO DO PIAUÍ","PIAUÍ"
"SUSSUAPARA","PIAUÍ"
"TAMBORIL DO PIAUÍ","PIAUÍ"
"TANQUE DO PIAUÍ","PIAUÍ"
"TERESINA","PIAUÍ"
"UNIÃO","PIAUÍ"
"URUÇUÍ","PIAUÍ"
"VALENÇA DO PIAUÍ","PIAUÍ"
"VÁRZEA BRANCA","PIAUÍ"
"VÁRZEA GRANDE","PIAUÍ"
"VERA MENDES","PIAUÍ"
"VILA NOVA DO PIAUÍ","PIAUÍ"
"WALL FERRAZ","PIAUÍ"
"ABATIÁ","PARANÁ"
"ADRIANÓPOLIS","PARANÁ"
"AGUDOS DO SUL","PARANÁ"
"ALMIRANTE TAMANDARÉ","PARANÁ"
"ALTAMIRA DO PARANÁ","PARANÁ"
"ALTO PARAÍSO","PARANÁ"
"ALTO PARANÁ","PARANÁ"
"ALTO PIQUIRI","PARANÁ"
"ALTÔNIA","PARANÁ"
"ALVORADA DO SUL","PARANÁ"
"AMAPORÃ","PARANÁ"
"AMPÉRE","PARANÁ"
"ANAHY","PARANÁ"
"ANDIRÁ","PARANÁ"
"ÂNGULO","PARANÁ"
"ANTONINA","PARANÁ"
"ANTÔNIO OLINTO","PARANÁ"
"APUCARANA","PARANÁ"
"ARAPONGAS","PARANÁ"
"ARAPOTI","PARANÁ"
"ARAPUÃ","PARANÁ"
"ARARUNA","PARANÁ"
"ARAUCÁRIA","PARANÁ"
"ARIRANHA DO IVAÍ","PARANÁ"
"ASSAÍ","PARANÁ"
"ASSIS CHATEAUBRIAND","PARANÁ"
"ASTORGA","PARANÁ"
"ATALAIA","PARANÁ"
"BALSA NOVA","PARANÁ"
"BANDEIRANTES","PARANÁ"
"BARBOSA FERRAZ","PARANÁ"
"BARRA DO JACARÉ","PARANÁ"
"BARRACÃO","PARANÁ"
"BELA VISTA DA CAROBA","PARANÁ"
"BELA VISTA DO PARAÍSO","PARANÁ"
"BITURUNA","PARANÁ"
"BOA ESPERANÇA","PARANÁ"
"BOA ESPERANÇA DO IGUAÇU","PARANÁ"
"BOA VENTURA DE SÃO ROQUE","PARANÁ"
"BOA VISTA DA APARECIDA","PARANÁ"
"BOCAIÚVA DO SUL","PARANÁ"
"BOM JESUS DO SUL","PARANÁ"
"BOM SUCESSO","PARANÁ"
"BOM SUCESSO DO SUL","PARANÁ"
"BORRAZÓPOLIS","PARANÁ"
"BRAGANEY","PARANÁ"
"BRASILÂNDIA DO SUL","PARANÁ"
"CAFEARA","PARANÁ"
"CAFELÂNDIA","PARANÁ"
"CAFEZAL DO SUL","PARANÁ"
"CALIFÓRNIA","PARANÁ"
"CAMBARÁ","PARANÁ"
"CAMBÉ","PARANÁ"
"CAMBIRA","PARANÁ"
"CAMPINA DA LAGOA","PARANÁ"
"CAMPINA DO SIMÃO","PARANÁ"
"CAMPINA GRANDE DO SUL","PARANÁ"
"CAMPO BONITO","PARANÁ"
"CAMPO DO TENENTE","PARANÁ"
"CAMPO LARGO","PARANÁ"
"CAMPO MAGRO","PARANÁ"
"CAMPO MOURÃO","PARANÁ"
"CÂNDIDO DE ABREU","PARANÁ"
"CANDÓI","PARANÁ"
"CANTAGALO","PARANÁ"
"CAPANEMA","PARANÁ"
"CAPITÃO LEÔNIDAS MARQUES","PARANÁ"
"CARAMBEÍ","PARANÁ"
"CARLÓPOLIS","PARANÁ"
"CASTRO","PARANÁ"
"CATANDUVAS","PARANÁ"
"CENTENÁRIO DO SUL","PARANÁ"
"FELÍCIO DOS SANTOS","MINAS GERAIS"
"FELISBURGO","MINAS GERAIS"
"FELIXLÂNDIA","MINAS GERAIS"
"FERNANDES TOURINHO","MINAS GERAIS"
"FERROS","MINAS GERAIS"
"FERVEDOURO","MINAS GERAIS"
"FLORESTAL","MINAS GERAIS"
"FORMIGA","MINAS GERAIS"
"FORMOSO","MINAS GERAIS"
"FORTALEZA DE MINAS","MINAS GERAIS"
"FORTUNA DE MINAS","MINAS GERAIS"
"FRANCISCO BADARÓ","MINAS GERAIS"
"FRANCISCO DUMONT","MINAS GERAIS"
"FRANCISCO SÁ","MINAS GERAIS"
"CERRO AZUL","PARANÁ"
"CÉU AZUL","PARANÁ"
"CHOPINZINHO","PARANÁ"
"CIANORTE","PARANÁ"
"CIDADE GAÚCHA","PARANÁ"
"CLEVELÂNDIA","PARANÁ"
"COLOMBO","PARANÁ"
"COLORADO","PARANÁ"
"CONGONHINHAS","PARANÁ"
"CONSELHEIRO MAIRINCK","PARANÁ"
"CONTENDA","PARANÁ"
"CORBÉLIA","PARANÁ"
"CORNÉLIO PROCÓPIO","PARANÁ"
"CORONEL DOMINGOS SOARES","PARANÁ"
"CORONEL VIVIDA","PARANÁ"
"CORUMBATAÍ DO SUL","PARANÁ"
"CRUZEIRO DO OESTE","PARANÁ"
"CRUZEIRO DO SUL","PARANÁ"
"CRUZMALTINA","PARANÁ"
"CURITIBA","PARANÁ"
"CURIÚVA","PARANÁ"
"DIAMANTE DO NORTE","PARANÁ"
"DIAMANTE DO SUL","PARANÁ"
"DIAMANTE D'OESTE","PARANÁ"
"DOIS VIZINHOS","PARANÁ"
"DOURADINA","PARANÁ"
"DOUTOR CAMARGO","PARANÁ"
"DOUTOR ULYSSES","PARANÁ"
"ENÉAS MARQUES","PARANÁ"
"ENGENHEIRO BELTRÃO","PARANÁ"
"ENTRE RIOS DO OESTE","PARANÁ"
"ESPERANÇA NOVA","PARANÁ"
"ESPIGÃO ALTO DO IGUAÇU","PARANÁ"
"FAROL","PARANÁ"
"FAXINAL","PARANÁ"
"FAZENDA RIO GRANDE","PARANÁ"
"FÊNIX","PARANÁ"
"FERNANDES PINHEIRO","PARANÁ"
"FIGUEIRA","PARANÁ"
"FLOR DA SERRA DO SUL","PARANÁ"
"FLORAÍ","PARANÁ"
"FLORESTA","PARANÁ"
"FLORESTÓPOLIS","PARANÁ"
"FLÓRIDA","PARANÁ"
"PONTE NOVA","MINAS GERAIS"
"PONTO CHIQUE","MINAS GERAIS"
"PONTO DOS VOLANTES","MINAS GERAIS"
"PORTEIRINHA","MINAS GERAIS"
"MATARACA","PARAÍBA"
"CASCAVEL","PARANÁ"
"SANTA RITA DO TRIVELATO","MATO GROSSO"
"SANTA TEREZINHA","MATO GROSSO"
"SANTO AFONSO","MATO GROSSO"
"AURORA DO PARÁ","PARÁ"
"AVEIRO","PARÁ"
"BAGRE","PARÁ"
"BAIÃO","PARÁ"
"BANNACH","PARÁ"
"BARCARENA","PARÁ"
"BELÉM","PARÁ"
"BELTERRA","PARÁ"
"BENEVIDES","PARÁ"
"MULUNGU","PARAÍBA"
"LAGOA DO CARRO","PERNAMBUCO"
"LAGOA DO ITAENGA","PERNAMBUCO"
"LAGOA DO OURO","PERNAMBUCO"
"LAGOA DOS GATOS","PERNAMBUCO"
"ACAUÃ","PIAUÍ"
"AGRICOLÂNDIA","PIAUÍ"
"BURITI DOS MONTES","PIAUÍ"
"CABECEIRAS DO PIAUÍ","PIAUÍ"
"CAJAZEIRAS DO PIAUÍ","PIAUÍ"
"CAJUEIRO DA PRAIA","PIAUÍ"
"CALDEIRÃO GRANDE DO PIAUÍ","PIAUÍ"
"CAMPINAS DO PIAUÍ","PIAUÍ"
"CAMPO ALEGRE DO FIDALGO","PIAUÍ"
"CAMPO GRANDE DO PIAUÍ","PIAUÍ"
"CAMPO LARGO DO PIAUÍ","PIAUÍ"
"CAMPO MAIOR","PIAUÍ"
"CANAVIEIRA","PIAUÍ"
"CANTO DO BURITI","PIAUÍ"
"CAPITÃO DE CAMPOS","PIAUÍ"
"CAPITÃO GERVÁSIO OLIVEIRA","PIAUÍ"
"CARACOL","PIAUÍ"
"CARAÚBAS DO PIAUÍ","PIAUÍ"
"CARIDADE DO PIAUÍ","PIAUÍ"
"CRUZ MACHADO","PARANÁ"
"CRUZEIRO DO IGUAÇU","PARANÁ"
"BUJARI","ACRE"
"ARARANGUÁ","SANTA CATARINA"
"ARMAZÉM","SANTA CATARINA"
"ARROIO TRINTA","SANTA CATARINA"
"ARVOREDO","SANTA CATARINA"
"ATALANTA","SANTA CATARINA"
"CAMPO BELO DO SUL","SANTA CATARINA"
"CAMPO ERÊ","SANTA CATARINA"
"GUATAMBÚ","SANTA CATARINA"
"HERVAL D'OESTE","SANTA CATARINA"
"IBIAM","SANTA CATARINA"
"IBICARÉ","SANTA CATARINA"
"IBIRAMA","SANTA CATARINA"
"IÇARA","SANTA CATARINA"
"ILHOTA","SANTA CATARINA"
"IMARUÍ","SANTA CATARINA"
"IMBITUBA","SANTA CATARINA"
"WITMARSUM","SANTA CATARINA"
"XANXERÊ","SANTA CATARINA"
"XAVANTINA","SANTA CATARINA"
"XAXIM","SANTA CATARINA"
"ZORTÉA","SANTA CATARINA"
"AMPARO DE SÃO FRANCISCO","SERGIPE"
"AQUIDABÃ","SERGIPE"
"ARACAJU","SERGIPE"
"ARAUÁ","SERGIPE"
"AREIA BRANCA","SERGIPE"
"BARRA DOS COQUEIROS","SERGIPE"
"FORMOSA DO OESTE","PARANÁ"
"BODOQUENA","MATO GROSSO DO SUL"
"BARÃO DE MELGAÇO","MATO GROSSO"
"FOZ DO IGUAÇU","PARANÁ"
"FOZ DO JORDÃO","PARANÁ"
"FRANCISCO ALVES","PARANÁ"
"FRANCISCO BELTRÃO","PARANÁ"
"GENERAL CARNEIRO","PARANÁ"
"GODOY MOREIRA","PARANÁ"
"GOIOERÊ","PARANÁ"
"GOIOXIM","PARANÁ"
"GRANDES RIOS","PARANÁ"
"GUAÍRA","PARANÁ"
"GUAIRAÇÁ","PARANÁ"
"GUAMIRANGA","PARANÁ"
"GUAPIRAMA","PARANÁ"
"NOVO PLANALTO","GOIÁS"
"SENADOR CANEDO","GOIÁS"
"ALVARENGA","MINAS GERAIS"
"BARROSO","MINAS GERAIS"
"LAGOA DOURADA","MINAS GERAIS"
"CRISSIUMAL","RIO GRANDE DO SUL"
"ESTÂNCIA VELHA","RIO GRANDE DO SUL"
"ESTEIO","RIO GRANDE DO SUL"
"ESTRELA","RIO GRANDE DO SUL"
"ESTRELA VELHA","RIO GRANDE DO SUL"
"EUGÊNIO DE CASTRO","RIO GRANDE DO SUL"
"FAGUNDES VARELA","RIO GRANDE DO SUL"
"IBIAÇÁ","RIO GRANDE DO SUL"
"IBIRAIARAS","RIO GRANDE DO SUL"
"LINDOLFO COLLOR","RIO GRANDE DO SUL"
"LINHA NOVA","RIO GRANDE DO SUL"
"MAÇAMBARÁ","RIO GRANDE DO SUL"
"MACHADINHO","RIO GRANDE DO SUL"
"SÃO MARTINHO","RIO GRANDE DO SUL"
"SÃO MARTINHO DA SERRA","RIO GRANDE DO SUL"
"SÃO MIGUEL DAS MISSÕES","RIO GRANDE DO SUL"
"SÃO NICOLAU","RIO GRANDE DO SUL"
"SÃO PAULO DAS MISSÕES","RIO GRANDE DO SUL"
"SÃO PEDRO DA SERRA","RIO GRANDE DO SUL"
"SÃO PEDRO DAS MISSÕES","RIO GRANDE DO SUL"
"SÃO PEDRO DO BUTIÁ","RIO GRANDE DO SUL"
"TAPEJARA","RIO GRANDE DO SUL"
"TAPERA","RIO GRANDE DO SUL"
"TAPES","RIO GRANDE DO SUL"
"TAQUARA","RIO GRANDE DO SUL"
"TAQUARI","RIO GRANDE DO SUL"
"VIADUTOS","RIO GRANDE DO SUL"
"VIAMÃO","RIO GRANDE DO SUL"
"VICENTE DUTRA","RIO GRANDE DO SUL"
"VICTOR GRAEFF","RIO GRANDE DO SUL"
"VILA FLORES","RIO GRANDE DO SUL"
"VILA LÂNGARO","RIO GRANDE DO SUL"
"SÃO PAULO","SÃO PAULO"
"VALENTIM GENTIL","SÃO PAULO"
"JAÚ DO TOCANTINS","TOCANTINS"
"JUARINA","TOCANTINS"
"LAGOA DA CONFUSÃO","TOCANTINS"
"GUAPOREMA","PARANÁ"
"Seropédica","RIO DE JANEIRO"
"CAPIXABA","ACRE"
"CRUZEIRO DO SUL","ACRE"
"EPITACIOLÂNDIA","ACRE"
"FEIJÓ","ACRE"
"JORDÃO","ACRE"
"MÂNCIO LIMA","ACRE"
"MANOEL URBANO","ACRE"
"MARECHAL THAUMATURGO","ACRE"
"PLÁCIDO DE CASTRO","ACRE"
"PORTO ACRE","ACRE"
"PORTO WALTER","ACRE"
"RIO BRANCO","ACRE"
"RODRIGUES ALVES","ACRE"
"SANTA ROSA DO PURUS","ACRE"
"SENA MADUREIRA","ACRE"
"SENADOR GUIOMARD","ACRE"
"TARAUACÁ","ACRE"
"XAPURI","ACRE"
"ÁGUA BRANCA","ALAGOAS"
"ANADIA","ALAGOAS"
"ARAPIRACA","ALAGOAS"
"ATALAIA","ALAGOAS"
"BARRA DE SANTO ANTÔNIO","ALAGOAS"
"BARRA DE SÃO MIGUEL","ALAGOAS"
"Planaltina","GOIÁS"
"Buritirana","MARANHÃO"
"Arujá","SÃO PAULO"
"SANTA FÉ DO ARAGUAIA","TOCANTINS"
"BATALHA","ALAGOAS"
"BELÉM","ALAGOAS"
"BELO MONTE","ALAGOAS"
"BOCA DA MATA","ALAGOAS"
"BRANQUINHA","ALAGOAS"
"CACIMBINHAS","ALAGOAS"
"CAJUEIRO","ALAGOAS"
"CAMPESTRE","ALAGOAS"
"CAMPO ALEGRE","ALAGOAS"
"CAMPO GRANDE","ALAGOAS"
"CANAPI","ALAGOAS"
"CAPELA","ALAGOAS"
"CARNEIROS","ALAGOAS"
"CHÃ PRETA","ALAGOAS"
"COITÉ DO NÓIA","ALAGOAS"
"COLÔNIA LEOPOLDINA","ALAGOAS"
"COQUEIRO SECO","ALAGOAS"
"CORURIPE","ALAGOAS"
"CRAÍBAS","ALAGOAS"
"DELMIRO GOUVEIA","ALAGOAS"
"DOIS RIACHOS","ALAGOAS"
"ESTRELA DE ALAGOAS","ALAGOAS"
"FEIRA GRANDE","ALAGOAS"
"FELIZ DESERTO","ALAGOAS"
"FLEXEIRAS","ALAGOAS"
"GIRAU DO PONCIANO","ALAGOAS"
"IBATEGUARA","ALAGOAS"
"IGACI","ALAGOAS"
"IGREJA NOVA","ALAGOAS"
"INHAPI","ALAGOAS"
"JACARÉ DOS HOMENS","ALAGOAS"
"JACUÍPE","ALAGOAS"
"JAPARATINGA","ALAGOAS"
"JARAMATAIA","ALAGOAS"
"JEQUIÁ DA PRAIA","ALAGOAS"
"JOAQUIM GOMES","ALAGOAS"
"JUNDIÁ","ALAGOAS"
"JUNQUEIRO","ALAGOAS"
"LAGOA DA CANOA","ALAGOAS"
"LIMOEIRO DE ANADIA","ALAGOAS"
"MACEIÓ","ALAGOAS"
"MAJOR ISIDORO","ALAGOAS"
"MAR VERMELHO","ALAGOAS"
"MARAGOGI","ALAGOAS"
"MARAVILHA","ALAGOAS"
"MARECHAL DEODORO","ALAGOAS"
"MARIBONDO","ALAGOAS"
"MATA GRANDE","ALAGOAS"
"MATRIZ DE CAMARAGIBE","ALAGOAS"
"MESSIAS","ALAGOAS"
"MINADOR DO NEGRÃO","ALAGOAS"
"MONTEIRÓPOLIS","ALAGOAS"
"MURICI","ALAGOAS"
"NOVO LINO","ALAGOAS"
"OLHO D'ÁGUA DAS FLORES","ALAGOAS"
"OLHO D'ÁGUA DO CASADO","ALAGOAS"
"OLHO D'ÁGUA GRANDE","ALAGOAS"
"OLIVENÇA","ALAGOAS"
"OURO BRANCO","ALAGOAS"
"PALESTINA","ALAGOAS"
"PALMEIRA DOS ÍNDIOS","ALAGOAS"
"PÃO DE AÇÚCAR","ALAGOAS"
"PARICONHA","ALAGOAS"
"PARIPUEIRA","ALAGOAS"
"PASSO DE CAMARAGIBE","ALAGOAS"
"PAULO JACINTO","ALAGOAS"
"PENEDO","ALAGOAS"
"PIAÇABUÇU","ALAGOAS"
"PILAR","ALAGOAS"
"PINDOBA","ALAGOAS"
"PIRANHAS","ALAGOAS"
"POÇO DAS TRINCHEIRAS","ALAGOAS"
"PORTO CALVO","ALAGOAS"
"PORTO DE PEDRAS","ALAGOAS"
"PORTO REAL DO COLÉGIO","ALAGOAS"
"QUEBRANGULO","ALAGOAS"
"RIO LARGO","ALAGOAS"
"ROTEIRO","ALAGOAS"
"SANTA LUZIA DO NORTE","ALAGOAS"
"SANTANA DO IPANEMA","ALAGOAS"
"SANTANA DO MUNDAÚ","ALAGOAS"
"SÃO BRÁS","ALAGOAS"
"SÃO JOSÉ DA LAJE","ALAGOAS"
"SÃO JOSÉ DA TAPERA","ALAGOAS"
"SÃO LUÍS DO QUITUNDE","ALAGOAS"
"SÃO MIGUEL DOS CAMPOS","ALAGOAS"
"SÃO MIGUEL DOS MILAGRES","ALAGOAS"
"SÃO SEBASTIÃO","ALAGOAS"
"SATUBA","ALAGOAS"
"SENADOR RUI PALMEIRA","ALAGOAS"
"TANQUE D'ARCA","ALAGOAS"
"TAQUARANA","ALAGOAS"
"TEOTÔNIO VILELA","ALAGOAS"
"TRAIPU","ALAGOAS"
"UNIÃO DOS PALMARES","ALAGOAS"
"VIÇOSA","ALAGOAS"
"ALVARÃES","AMAZONAS"
"AMATURÁ","AMAZONAS"
"ANAMÃ","AMAZONAS"
"ANORI","AMAZONAS"
"APUÍ","AMAZONAS"
"ATALAIA DO NORTE","AMAZONAS"
"AUTAZES","AMAZONAS"
"BARCELOS","AMAZONAS"
"BARREIRINHA","AMAZONAS"
"BENJAMIN CONSTANT","AMAZONAS"
"BERURI","AMAZONAS"
"BOA VISTA DO RAMOS","AMAZONAS"
"BOCA DO ACRE","AMAZONAS"
"BORBA","AMAZONAS"
"CAAPIRANGA","AMAZONAS"
"CANUTAMA","AMAZONAS"
"CARAUARI","AMAZONAS"
"CAREIRO","AMAZONAS"
"CAREIRO DA VÁRZEA","AMAZONAS"
"COARI","AMAZONAS"
"CODAJÁS","AMAZONAS"
"EIRUNEPÉ","AMAZONAS"
"ENVIRA","AMAZONAS"
"FONTE BOA","AMAZONAS"
"GUAJARÁ","AMAZONAS"
"HUMAITÁ","AMAZONAS"
"IPIXUNA","AMAZONAS"
"IRANDUBA","AMAZONAS"
"ITACOATIARA","AMAZONAS"
"ITAMARATI","AMAZONAS"
"ITAPIRANGA","AMAZONAS"
"JAPURÁ","AMAZONAS"
"JURUÁ","AMAZONAS"
"JUTAÍ","AMAZONAS"
"LÁBREA","AMAZONAS"
"MANAQUIRI","AMAZONAS"
"MANAUS","AMAZONAS"
"MANICORÉ","AMAZONAS"
"MARAÃ","AMAZONAS"
"MAUÉS","AMAZONAS"
"NHAMUNDÁ","AMAZONAS"
"NOVA OLINDA DO NORTE","AMAZONAS"
"NOVO AIRÃO","AMAZONAS"
"NOVO ARIPUANÃ","AMAZONAS"
"PARINTINS","AMAZONAS"
"PAUINI","AMAZONAS"
"PRESIDENTE FIGUEIREDO","AMAZONAS"
"RIO PRETO DA EVA","AMAZONAS"
"SANTA ISABEL DO RIO NEGRO","AMAZONAS"
"SANTO ANTÔNIO DO IÇÁ","AMAZONAS"
"SÃO GABRIEL DA CACHOEIRA","AMAZONAS"
"SÃO PAULO DE OLIVENÇA","AMAZONAS"
"SÃO SEBASTIÃO DO UATUMÃ","AMAZONAS"
"SILVES","AMAZONAS"
"TABATINGA","AMAZONAS"
"TAPAUÁ","AMAZONAS"
"TEFÉ","AMAZONAS"
"TONANTINS","AMAZONAS"
"UARINI","AMAZONAS"
"URUCARÁ","AMAZONAS"
"URUCURITUBA","AMAZONAS"
"AMAPÁ","AMAPÁ"
"AMAPARI","AMAPÁ"
"CALÇOENE","AMAPÁ"
"CUTIAS","AMAPÁ"
"FERREIRA GOMES","AMAPÁ"
"ITAUBAL","AMAPÁ"
"LARANJAL DO JARI","AMAPÁ"
"MACAPÁ","AMAPÁ"
"MAZAGÃO","AMAPÁ"
"OIAPOQUE","AMAPÁ"
"PORTO GRANDE","AMAPÁ"
"PRACUÚBA","AMAPÁ"
"SANTANA","AMAPÁ"
"SERRA DO NAVIO","AMAPÁ"
"TARTARUGALZINHO","AMAPÁ"
"VITÓRIA DO JARI","AMAPÁ"
"ABAÍRA","BAHIA"
"ABARÉ","BAHIA"
"ACAJUTIBA","BAHIA"
"ADUSTINA","BAHIA"
"ÁGUA FRIA","BAHIA"
"AIQUARA","BAHIA"
"ALAGOINHAS","BAHIA"
"ALCOBAÇA","BAHIA"
"ALMADINA","BAHIA"
"AMARGOSA","BAHIA"
"AMÉLIA RODRIGUES","BAHIA"
"AMÉRICA DOURADA","BAHIA"
"ANAGÉ","BAHIA"
"ANDARAÍ","BAHIA"
"ANDORINHA","BAHIA"
"ANGICAL","BAHIA"
"ANGUERA","BAHIA"
"ANTAS","BAHIA"
"ANTÔNIO CARDOSO","BAHIA"
"ANTÔNIO GONÇALVES","BAHIA"
"APORÁ","BAHIA"
"APUAREMA","BAHIA"
"ARAÇÁS","BAHIA"
"ARACATU","BAHIA"
"ARACI","BAHIA"
"ARAMARI","BAHIA"
"ARATACA","BAHIA"
"ARATUÍPE","BAHIA"
"AURELINO LEAL","BAHIA"
"BAIANÓPOLIS","BAHIA"
"BAIXA GRANDE","BAHIA"
"BANZAÊ","BAHIA"
"BARRA","BAHIA"
"BARRA DA ESTIVA","BAHIA"
"BARRA DO CHOÇA","BAHIA"
"BARRA DO MENDES","BAHIA"
"BARRA DO ROCHA","BAHIA"
"BARREIRAS","BAHIA"
"BARRO ALTO","BAHIA"
"BARRO PRETO","BAHIA"
"BARROCAS","BAHIA"
"BELMONTE","BAHIA"
"BELO CAMPO","BAHIA"
"BIRITINGA","BAHIA"
"BOA NOVA","BAHIA"
"BOA VISTA DO TUPIM","BAHIA"
"BOM JESUS DA LAPA","BAHIA"
"BOM JESUS DA SERRA","BAHIA"
"BONINAL","BAHIA"
"BONITO","BAHIA"
"BOQUIRA","BAHIA"
"BOTUPORÃ","BAHIA"
"BREJÕES","BAHIA"
"BREJOLÂNDIA","BAHIA"
"BROTAS DE MACAÚBAS","BAHIA"
"BRUMADO","BAHIA"
"BUERAREMA","BAHIA"
"BURITIRAMA","BAHIA"
"CAATIBA","BAHIA"
"CABACEIRAS DO PARAGUAÇU","BAHIA"
"CACHOEIRA","BAHIA"
"CACULÉ","BAHIA"
"CAÉM","BAHIA"
"CAETANOS","BAHIA"
"CAETITÉ","BAHIA"
"CAFARNAUM","BAHIA"
"CAIRU","BAHIA"
"CALDEIRÃO GRANDE","BAHIA"
"CAMACAN","BAHIA"
"CAMAÇARI","BAHIA"
"CAMAMU","BAHIA"
"CAMPO ALEGRE DE LOURDES","BAHIA"
"CAMPO FORMOSO","BAHIA"
"CANÁPOLIS","BAHIA"
"CANARANA","BAHIA"
"CANAVIEIRAS","BAHIA"
"CANDEAL","BAHIA"
"CANDEIAS","BAHIA"
"CANDIBA","BAHIA"
"CÂNDIDO SALES","BAHIA"
"CANSANÇÃO","BAHIA"
"CANUDOS","BAHIA"
"CAPELA DO ALTO ALEGRE","BAHIA"
"CAPIM GROSSO","BAHIA"
"CARAÍBAS","BAHIA"
"CARAVELAS","BAHIA"
"CARDEAL DA SILVA","BAHIA"
"CARINHANHA","BAHIA"
"CASA NOVA","BAHIA"
"CASTRO ALVES","BAHIA"
"CATOLÂNDIA","BAHIA"
"CATU","BAHIA"
"CATURAMA","BAHIA"
"CENTRAL","BAHIA"
"CHORROCHÓ","BAHIA"
"CÍCERO DANTAS","BAHIA"
"CIPÓ","BAHIA"
"COARACI","BAHIA"
"COCOS","BAHIA"
"CONCEIÇÃO DA FEIRA","BAHIA"
